empire_id,empire_name,status,year,gdp,population,colonies,description
f8c1278b86,The Consolidated Consolidated Systems,Birth,0,5000.0,0.0,1,"The The Consolidated Consolidated Systems emerges in the galaxy, establishing its capital at Gaia-1954-c."
4836a15586,The Consolidated Scientific Systems,Birth,0,5000.0,0.0,1,"The The Consolidated Scientific Systems emerges in the galaxy, establishing its capital at Gaia-1954-d."
ee951bbfab,The Great Kaelumian Imperium,Birth,0,5000.0,73144584.0,1,"The The Great Kaelumian Imperium emerges in the galaxy, establishing its capital at GDE-7293-c."
b2e833d309,The Great Allied Imperium,Birth,0,5000.0,34381110.0,1,"The The Great Allied Imperium emerges in the galaxy, establishing its capital at PSR 64400-e."
faf8d4b64a,The Great Solex Imperium,Birth,0,5000.0,0.0,1,"The The Great Solex Imperium emerges in the galaxy, establishing its capital at HD 82516-d."
a500abb373,The Zelari AI Hegemony,Birth,0,5000.0,0.0,1,"The The Zelari AI Hegemony emerges in the galaxy, establishing its capital at Webb-6470-b."
9594053f90,The Great Scientific Imperium,Birth,0,5000.0,0.0,1,"The The Great Scientific Imperium emerges in the galaxy, establishing its capital at Omicron Galacticis-b."
22b55b78e2,The Great Unified Imperium,Birth,0,5000.0,0.0,1,"The The Great Unified Imperium emerges in the galaxy, establishing its capital at Omicron Galacticis-c."
185a68bac9,The Scientific Technocracy,Birth,0,5000.0,23075914.0,1,"The The Scientific Technocracy emerges in the galaxy, establishing its capital at HR 220748-b."
c4f121b6c1,The Orionian Technocracy,Birth,0,5000.0,0.0,1,"The The Orionian Technocracy emerges in the galaxy, establishing its capital at Zeta Orionis-c."
70a115d461,The Consolidated Technocracy,Birth,0,5000.0,70249736.0,1,"The The Consolidated Technocracy emerges in the galaxy, establishing its capital at GDE-6664-e."
26b5626b6c,The Scientific Technocracy,Birth,0,5000.0,0.0,1,"The The Scientific Technocracy emerges in the galaxy, establishing its capital at Webb-6726b-f."
8a41c4ac34,The Valis AI Hegemony,Birth,0,5000.0,0.0,1,"The The Valis AI Hegemony emerges in the galaxy, establishing its capital at Webb-6726b-g."
15286fa1f5,The Great Consolidated Imperium,Birth,0,5000.0,32908665.0,1,"The The Great Consolidated Imperium emerges in the galaxy, establishing its capital at Webb-6726b-i."
ec5efdeb2d,The Bulgite Technocracy,Birth,0,5000.0,0.0,1,"The The Bulgite Technocracy emerges in the galaxy, establishing its capital at Zeta Bulge-b."
2f0954acad,The Scientific AI Hegemony,Birth,0,5000.0,0.0,1,"The The Scientific AI Hegemony emerges in the galaxy, establishing its capital at Aethelgard-b."
c7c9fca9a1,The Consolidated Unified Systems,Birth,0,5000.0,0.0,1,"The The Consolidated Unified Systems emerges in the galaxy, establishing its capital at Aethelgard-c."
511ff78315,The Great Allied Imperium,Birth,0,5000.0,0.0,1,"The The Great Allied Imperium emerges in the galaxy, establishing its capital at Zeta Cygni-b."
95cba99a70,The Consolidated Technocracy,Birth,0,5000.0,0.0,1,"The The Consolidated Technocracy emerges in the galaxy, establishing its capital at Webb-9180d-b."
73cb158d41,The Great Unified Imperium,Birth,0,5000.0,0.0,1,"The The Great Unified Imperium emerges in the galaxy, establishing its capital at Webb-9180d-c."
7419a59432,The Unified Technocracy,Birth,0,5000.0,0.0,1,"The The Unified Technocracy emerges in the galaxy, establishing its capital at Webb-9180d-d."
bb1351012f,The Zylarian Star Empire,Birth,0,5000.0,0.0,1,"The The Zylarian Star Empire emerges in the galaxy, establishing its capital at Webb-9180d-e."
3be9d94e07,The Consolidated Unified Systems,Birth,0,5000.0,0.0,1,"The The Consolidated Unified Systems emerges in the galaxy, establishing its capital at Webb-9180d-f."
033668785c,The Great Solis Imperium,Birth,0,5000.0,0.0,1,"The The Great Solis Imperium emerges in the galaxy, establishing its capital at HD 212440-b."
f8a4edc83b,The Consolidated AI Hegemony,Birth,0,5000.0,38457802.0,1,"The The Consolidated AI Hegemony emerges in the galaxy, establishing its capital at HD 212440-c."
d2748466c9,The Great Scientific Imperium,Birth,0,5000.0,0.0,1,"The The Great Scientific Imperium emerges in the galaxy, establishing its capital at HD 212440-d."
4a7ef72f37,The Great Bulgite Imperium,Birth,0,5000.0,31414948.0,1,"The The Great Bulgite Imperium emerges in the galaxy, establishing its capital at Mu Bulge-b."
23979e6a05,The Great Unified Imperium,Birth,0,5000.0,47187386.0,1,"The The Great Unified Imperium emerges in the galaxy, establishing its capital at Chi Persei-f."
b6e89e8b4d,The Consolidated Allied Systems,Birth,0,5000.0,0.0,1,"The The Consolidated Allied Systems emerges in the galaxy, establishing its capital at Chi Persei-g."
243eff68e3,The Great Sigma-bulgis Imperium,Birth,0,5000.0,34604006.0,1,"The The Great Sigma-bulgis Imperium emerges in the galaxy, establishing its capital at Sigma Bulge-e."
9aa2eff7c3,The Great Persean Imperium,Birth,0,5000.0,0.0,1,"The The Great Persean Imperium emerges in the galaxy, establishing its capital at Upsilon Persei-b."
5db2756626,The Great Unified Imperium,Birth,0,5000.0,0.0,1,"The The Great Unified Imperium emerges in the galaxy, establishing its capital at Gaia-2971-b."
37df7ce9be,The Great Unified Imperium,Birth,0,5000.0,0.0,1,"The The Great Unified Imperium emerges in the galaxy, establishing its capital at Gaia-2971-c."
63fff6610a,The Great Meris Imperium,Birth,0,5000.0,0.0,1,"The The Great Meris Imperium emerges in the galaxy, establishing its capital at Gaia-2971-d."
52d6d92e6b,The Unified Star Empire,Birth,0,5000.0,0.0,1,"The The Unified Star Empire emerges in the galaxy, establishing its capital at Gaia-2971-e."
ea27a17ca6,The Great Meris Imperium,Birth,0,5000.0,0.0,1,"The The Great Meris Imperium emerges in the galaxy, establishing its capital at Gaia-2971-f."
962632e3ac,The Zylarex Star Empire,Birth,0,5000.0,0.0,1,"The The Zylarex Star Empire emerges in the galaxy, establishing its capital at GDE-378-b."
0bfb7074dd,The Great Scientific Imperium,Birth,0,5000.0,0.0,1,"The The Great Scientific Imperium emerges in the galaxy, establishing its capital at GDE-378-c."
626215ebea,The Scientific Technocracy,Birth,0,5000.0,0.0,1,"The The Scientific Technocracy emerges in the galaxy, establishing its capital at GDE-378-d."
d8145cd1f0,The Great Aurelite Imperium,Birth,0,5000.0,0.0,1,"The The Great Aurelite Imperium emerges in the galaxy, establishing its capital at GDE-378-e."
7315025cfd,The Great Unified Imperium,Birth,0,5000.0,0.0,1,"The The Great Unified Imperium emerges in the galaxy, establishing its capital at TESS-2949-c."
d853839dba,The Consolidated Allied Systems,Birth,0,5000.0,0.0,1,"The The Consolidated Allied Systems emerges in the galaxy, establishing its capital at TESS-2949-d."
c56a0b9792,The Great Allied Imperium,Birth,0,5000.0,0.0,1,"The The Great Allied Imperium emerges in the galaxy, establishing its capital at Elysium-d."
2173a01d64,The Great Allied Imperium,Birth,0,5000.0,26602010.0,1,"The The Great Allied Imperium emerges in the galaxy, establishing its capital at Elysium-e."
35390a1939,The Consolidated Valari Systems,Birth,0,5000.0,49801436.0,1,"The The Consolidated Valari Systems emerges in the galaxy, establishing its capital at Kepler-4496-c."
6d4e0abb77,The Consolidated Scientific Systems,Birth,0,5000.0,0.0,1,"The The Consolidated Scientific Systems emerges in the galaxy, establishing its capital at Kepler-4496-f."
3a3695c8e9,The Consolidated Star Empire,Birth,0,5000.0,46100626.0,1,"The The Consolidated Star Empire emerges in the galaxy, establishing its capital at Zeta Galacticis-b."
494354518b,The Unified Technocracy,Birth,0,5000.0,0.0,1,"The The Unified Technocracy emerges in the galaxy, establishing its capital at Gaia-2093-b."
a425d5c923,The Great Allied Imperium,Birth,0,5000.0,0.0,1,"The The Great Allied Imperium emerges in the galaxy, establishing its capital at Gaia-2093-c."
9cad00795f,The Great Allied Imperium,Birth,0,5000.0,0.0,1,"The The Great Allied Imperium emerges in the galaxy, establishing its capital at Aethelgard-b."
155f4eead5,The Consolidated Aethelgardan Systems,Birth,0,5000.0,0.0,1,"The The Consolidated Aethelgardan Systems emerges in the galaxy, establishing its capital at Aethelgard-c."
35b25d7eaf,The Great Unified Imperium,Birth,0,5000.0,0.0,1,"The The Great Unified Imperium emerges in the galaxy, establishing its capital at Aethelgard-d."
4e674c46b8,The Aethelgardan AI Hegemony,Birth,0,5000.0,0.0,1,"The The Aethelgardan AI Hegemony emerges in the galaxy, establishing its capital at Aethelgard-e."
