id,name,star_type,mass,temperature,luminosity,x,y,z,region
1212d714,HIP 280040,M,0.1279633504703715,2568.519880031035,0.00023786443947809618,-1605.617884775453,-5347.65006428698,-679.4366757045802,Core
473dea70,Omicron Cygni,M,0.1627279147067134,2690.6656462668307,0.00044575771355917965,-19112.415233822245,18057.137486776755,-565.5131957459715,Cygnus Arm
26815867,Gaia-8662,M,0.11263866222027559,2514.676380773941,0.00018033877592548914,-21479.089705717237,-509.64699699352514,397.13233981091355,Orion Arm
8f82d3b5,Kepler-9979b,M,0.3476612230233916,3340.4313241362406,0.01259275010179837,-8489.88951581475,-9808.713285859018,-405.1262185071905,Sagittarius Arm
f69b317e,HD 131673,K,0.4880172230274281,3862.9309558318346,0.09957256598224783,5540.401296192217,-31227.583714948127,-118.32109276552296,Orion Arm
b84e5edc,Gaia-1954,K,0.7156729654413261,4838.598423319969,0.3692486392487224,17282.687111934465,-9864.873231796842,-364.0014706145672,Sagittarius Arm
b7b3fe33,GDE-7293,G,1.0255411446299683,5951.803815433227,1.4194407578920072,-95.63458065131424,29806.4927461947,-248.74932920257004,Sagittarius Arm
7845146e,Gaia-5646,M,0.15208453688764786,2653.269994470114,0.00036778068004828765,-21853.414254637264,2318.856190422889,-231.58243323573285,Orion Arm
042ce967,HIP 218139,M,0.2393892000556251,2960.0161083035478,0.0017807289233284969,-7703.497508306449,-6795.448731315588,1087.7124450794554,Core
b2056bd6,Xylar,M,0.22477486413854433,2908.6684415678583,0.0013675114420241053,14901.314844027911,-42908.979865967296,-641.5887139649041,Cygnus Arm
a20cdf05,PSR 64400,F,1.0661249572634164,6108.853988597568,1.6369530258596012,-4740.588186326817,-2823.5964109316333,6187.574757729435,Core
59f5e50e,Gliese 247.0,M,0.10655565238473258,2493.303643513925,0.00016156998018611155,9454.593908272167,-947.0747265473318,861.5501121970792,Disk Background
1bf94b9c,Iota Galacticis,M,0.429835522936098,3629.151837343047,0.05557451557152229,28641.167734300998,18950.688275982906,-392.99743009151734,Disk Background
850c3810,Lambda Bulge,K,0.6771520376603641,4673.5087328301315,0.2958079498106033,-5359.487086832516,-4597.118108361103,3952.792606823879,Core
79de99a2,Alpha Sagittarii,K,0.4802136241911087,3829.486960819037,0.09519833133569369,14420.3713783788,-12149.248316388583,-811.9786043805207,Sagittarius Arm
1fd4797d,HD 82516,K,0.692352630735464,4738.654131723417,0.3228598084848781,17743.045952460867,21996.98688031885,-497.0353288971976,Disk Background
683712a6,Helios III,M,0.12405156901733705,2554.775783033887,0.00022163428500324058,-9008.564831259057,-7065.631792599665,1147.3242534578953,Core
8589d2bc,Webb-6470,M,0.265330984929552,3051.1629200227503,0.0028453910678851494,15314.415519148131,5519.678858367554,435.6486487286221,Cygnus Arm
1ffcd021,Omicron Galacticis,M,0.32265317079402084,3252.5651946816947,0.008014984316500816,403.30944257877724,-6932.454505417045,-149.05427701246737,Disk Background
2a478f10,Gaia-1477,M,0.2548128959227021,3014.207472160845,0.0023529627288957455,261.242058885064,2115.869199245028,-723.7729638556274,Core
0fe5f7e9,Gliese 622.0,M,0.12976342391247617,2574.8444623951864,0.0002457272028098736,804.7498269760857,30448.99376509327,165.99016528450727,Sagittarius Arm
e8a1b267,HR 220748,K,0.5291250463098209,4039.107341327804,0.12615848140928473,-9537.027751487338,-17727.483437246607,-263.37771632749525,Perseus Arm
9429fae3,HR 152312,M,0.1306159155193008,2577.839703175922,0.00024954107828415877,-20753.548788788084,-9318.95296694577,-163.96553336904836,Disk Background
d5ba3da8,Kepler-3298,M,0.2535276456175068,3009.691727845294,0.0022989563792040276,27052.229974272417,-36141.73881090842,-647.9634160656044,Disk Background
ebd6dd77,Webb-1448,M,0.31264919533418445,3217.416091714702,0.006689745454388296,-2391.878573001643,21325.41120536887,86.03296362297627,Disk Background
