tick,year,civilization_id,gdp,gdp_growth,treasury,capital_reserves,money_supply,inflation_rate,exchange_rate,purchasing_power_index,trade_volume,trade_balance
1,100,f8c1278b86,11199.37,11199.3712,0.0,33296.277865,112003900.0,1.111887269812895,0.75,0.473,0.0,0.0
1,100,4836a15586,12672.94,12672.9355,0.0,34911.86243,126739600.0,1.1118912153553462,0.75,0.473,0.0,0.0
1,100,ee951bbfab,16751.52,16751.5184,0.0,32786.51014000001,167525400.0,1.1101412998692566,0.75,0.474,0.0,0.0
1,100,b2e833d309,17963.94,17963.9359,0.0,49450.300630000005,179649600.0,1.1114271671071467,0.75,0.474,0.0,0.0
1,100,faf8d4b64a,100.0,100.0,0.0,5584.662000000002,1010200.0,-0.05,0.75,1.053,0.0,0.0
1,100,a500abb373,10279.99,10279.9878,0.0,17135.083755,102810100.0,1.111682279520704,0.75,0.473,0.0,0.0
1,100,9594053f90,17903.85,17903.845,0.0,29041.151825000008,179048700.0,1.1118525760040303,0.75,0.473,0.0,0.0
1,100,22b55b78e2,14068.39,14068.3919,0.0,16712.241655000005,140694100.0,1.1115350008995917,0.75,0.473,0.0,0.0
1,100,185a68bac9,13810.51,13810.5058,738.9334950000011,11307.31,138115300.0,1.1044425680965069,0.75,0.475,0.0,0.0
1,100,c4f121b6c1,6881.98,6881.9789,0.0,10285.82011,68830000.0,1.1111788700588756,0.75,0.474,0.0,0.0
1,100,70a115d461,19627.53,19627.528,0.0,30987.494785000014,196285500.0,1.1100087376015924,0.75,0.474,0.0,0.0
1,100,26b5626b6c,12612.09,12612.0876,0.0,17927.666305,126131100.0,1.1116500874904556,0.75,0.473,0.0,0.0
1,100,8a41c4ac34,10722.83,10722.8339,0.0,18210.185735,107238500.0,1.1116942723084098,0.75,0.473,0.0,0.0
1,100,15286fa1f5,18041.73,18041.7272,1092.5337850000055,14150.0,180427500.0,0.7077052139416068,0.75,0.585,0.0,0.0
1,100,ec5efdeb2d,100.0,100.0,0.0,5816.148000000002,1010200.0,-0.05,0.75,1.053,0.0,0.0
1,100,2f0954acad,12646.81,12646.8091,0.0,32797.518945,126478300.0,1.11188486082204,0.75,0.473,0.0,0.0
1,100,c7c9fca9a1,12596.79,12596.7949,0.0,20144.473354999995,125978100.0,1.1117193060427706,0.75,0.473,0.0,0.0
1,100,511ff78315,13262.43,13262.4254,0.0,14897.960935000003,132634500.0,1.1113642447730303,0.75,0.474,0.0,0.0
1,100,95cba99a70,12663.54,12663.5368,0.0,16679.83953,126645600.0,1.1116069434640998,0.75,0.473,0.0,0.0
1,100,73cb158d41,13781.71,13781.7081,0.0,17719.058895000002,137827300.0,1.1116084257420609,0.75,0.473,0.0,0.0
1,100,7419a59432,12721.72,12721.7169,0.0,18864.16244,127227400.0,1.11167994367132,0.75,0.473,0.0,0.0
1,100,bb1351012f,10868.47,10868.4687,0.0,31933.920815000005,108694900.0,1.1118792850261872,0.75,0.473,0.0,0.0
