colony_id,colony_name,parent_civilization_id,home_star_id,target_planet_id,population,development_level,resource_output,colony_type,age
6c8c6cf35e,HD 14799-g Science Station,927dbfac0b,6cd46a40,8457cc08ee,31990749.0,73.00405,249.60084695000003,Research Colony,900.0
a09ae452c4,Webb-7499-e Science Station,2705d84a32,bab9d62d,1bcc029d9a,30778838.0,67.71475000000001,213.3014625,Research Colony,900.0
ce01f2888d,Phi Persei-e Sector,4c67325ea2,446ad83e,cedb386d6b,46193899.0,72.88165,187.4516038,Capital Colony,900.0
64605d8ac2,TESS-8623-d Sector,7c376afd56,2d39dd9d,a16b17c3d3,37185139.0,66.53079999999999,254.67990239999995,Capital Colony,900.0
e8ee444f1f,Scientific Outpost 97,84a3d643c9,6c559cff,00e1d484dc,28787953.0,69.2911,166.09076670000002,Research Colony,900.0
4ad95b3d0e,Aurelex Outpost 73,cb312b9d86,0830cbed,eeae496449,31281025.0,73.14265,269.8963785,Research Colony,900.0
3ab816968a,PSR 133182-d Science Station,63803c4eb1,f2adc5f9,79868b55f4,34264700.0,68.04595000000002,249.86472840000005,Research Colony,900.0
8bdeab2560,Unified Outpost 51,d1ebd8161b,607fd3e2,034f64cb17,37981167.0,73.00405,248.43278215,Trade Hub,900.0
821e13b307,HD 212440-e Sector,f8a4edc83b,93dff340,829dbffb2e,38457802.0,73.0441,234.5446051,Trade Hub,900.0
44e0d69b15,HD 275033-d Prime,096fc37df4,6672463b,60da6bfcd2,31236687.0,63.999099999999984,282.1080327999999,Research Colony,900.0
0c3ea15134,PSR 64400-d Science Station,b2e833d309,a20cdf05,3c4df11bb3,34381110.0,70.52905000000001,296.71571335000004,Research Colony,900.0
6e9ffa6002,Cygnan Colony,095464621d,5d295f95,593e18c3cb,42986524.0,73.03285,255.98013924999998,Industrial Colony,900.0
48079a4343,Scientific Colony,b28f9ec7d4,32aff2a0,7cd42470ce,39115347.0,73.16919999999999,274.16499239999996,Research Colony,900.0
40e61944f3,Beta Bulge-e Sector,b8c054770f,0c60f83d,82c38d75a8,52846319.0,73.03824999999999,260.60047599999996,Capital Colony,900.0
367cd824cb,Kepler-8079d-f Prime,8f64eb0a84,a2c1a02e,8127ac8777,34572110.0,73.00450000000001,297.4933375,Research Colony,900.0
cf82bb4bbb,Valis Colony,1b37c066da,c3277bff,86094b5d38,35248077.0,64.18854999999999,240.1935541,Research Colony,900.0
a87c5b3bb2,HIP 76600-d Science Station,556d6c2378,61f5947e,e5105ecddc,26971152.0,73.03330000000001,264.67267920000006,Research Colony,900.0
e04f54e8c2,Allied Colony,947f74a852,f92fc03e,d38dd6fd5e,22531543.0,72.83665,256.89486455,Research Colony,900.0
154c6beb52,Perseian Outpost 23,04b742dd38,2b4e30b7,383f7677ea,20389936.0,60.14800000000001,248.29094400000005,Research Colony,900.0
5c0559585b,TESS-7890-e Prime,5d262aaec3,82d87ebd,a3f080656a,25539319.0,69.7654,191.85485,Industrial Colony,900.0
3db4dd744e,TESS-945-d Prime,862f6cbc45,69a0cbc9,8a6dbf1bc0,39544612.0,73.08955000000002,291.33494630000007,Research Colony,900.0
33bcff9305,TESS-8033-c Sector,c235dc422c,8d8c08b2,f367fb951e,22207708.0,72.30655,238.68392155000004,Mining Colony,900.0
25f68f6042,Alpha Bulge-c Sector,8d88177d24,51cdd6f8,9274835c15,36124020.0,66.33595,228.06299610000002,Research Colony,900.0
c4488a59f4,Unified Outpost 50,1c4722b997,36f27f2f,7651117306,32040734.0,73.14939999999999,269.8481366,Research Colony,900.0
0fc1a6e232,Scientific Colony,634ad45f7e,32aff2a0,78cc361ed5,23402427.0,68.03470000000002,227.64410620000007,Research Colony,900.0
6009140f30,HR 233687-c Excavation,d07bc4ae63,7ce49ce6,20119daf70,43733359.0,65.40984999999999,293.62481664999996,Mining Colony,900.0
d6cfb7c2aa,Aurelia-f Sector,999c5041c4,80d2e06b,c2c2f35f53,31971264.0,70.97590000000001,230.52972320000003,Research Colony,900.0
a7e015216c,Webb-4746d-d Sector,7ba9deb67e,807c7f9a,35c0f81f26,36166170.0,73.73484999999998,290.5890438499999,Research Colony,900.0
c8232443e2,HR 36296-c Sector,4b4e90bd89,1699edb3,a8df4539f9,33203933.0,73.05985,298.3764274,Research Colony,900.0
18c2036ecd,Chi Galacticis-c Sector,82b29167c3,7034be00,824020427f,21116575.0,64.22319999999999,200.24793759999997,Research Colony,900.0
ddde658d6a,Gliese 325.0-c Sector,71efb681fc,6f116dc8,f5f987a360,24328533.0,64.44955,235.7564539,Research Colony,900.0
eba406a3f4,TESS-7571-d Sector,65154f1c30,94bfa287,0fc7d9585d,31395842.0,73.06165,258.71130265,Research Colony,900.0
45d86d29dd,Consolidated Colony,15286fa1f5,db74cbd4,3a4eea9970,32908665.0,73.0135,199.54589549999997,Research Colony,900.0
b8031c66ba,Consolidated Outpost 15,b7f420628f,07115d02,4a8469aa55,46743519.0,60.59934999999999,285.9683326499999,Capital Colony,900.0
78df670caa,HR 121153-f Sector,0fa7096d5a,eb590d95,38c4d85c08,34041742.0,73.02025000000002,282.22326625000005,Research Colony,900.0
2c64671fe1,TESS-915-c Prime,17fee1a6ac,9081a1f7,327fca23ad,28353376.0,61.371999999999986,255.12340399999997,Research Colony,900.0
fbe14172af,Prometheus-f Prime,6a9427ac16,3eb58ed7,e9a82053a5,50930184.0,61.62444999999999,226.83960044999998,Capital Colony,900.0
adb8322b53,Webb-6199-g Sector,f0ada7121c,7dce77da,5b4aaf8233,23850313.0,64.87080000000002,205.77017760000004,Mining Colony,800.0
ed69c1d6be,Valoid Outpost 53,82f9ee8fb4,83f02fd1,d7c820d35a,36410141.0,62.075199999999995,212.8558608,Industrial Colony,800.0
41b4374c4f,Xi Sagittarii-c Prime,e47a782635,eaac8b8c,c5b9b561b0,34678210.0,55.6044,213.3540828,Mining Colony,800.0
0587ff88d3,Aurelian Outpost 67,41a9345e47,be9a64f4,b008de65ab,25434485.0,66.02,212.45236,Military Outpost,800.0
867cb6bc1f,Gaia-7887-e Sector,609e70586f,cb2ed0d3,4c973f596f,27251148.0,64.63600000000001,206.44738400000006,Research Colony,800.0
4358933005,Chi Bulge-d Prime,4c8e6a8540,e90ac907,a1d888916f,25300150.0,58.26959999999998,228.1837535999999,Research Colony,800.0
66a32ba391,Solex Outpost 11,8e17c1b492,12935a73,9b6fb97e8b,39406856.0,50.557599999999994,215.1731456,Trade Hub,800.0
e97ad9a6d6,HIP 262134-e Sector,37a4cea3d7,a8f2e669,3e495c09e3,36551379.0,60.27839999999999,237.43661759999998,Research Colony,800.0
1158ad6430,Bulgan Outpost 41,f2bbbfc167,3ff7f130,360e78d9e3,20658501.0,58.148799999999994,225.4428976,Trade Hub,800.0
b64a72a3f1,TESS-8500-c Sector,9891e1dd90,d626bdf3,38a4798421,49123068.0,64.2312,276.2583912,Capital Colony,800.0
82df3766a0,Perseian Outpost 82,03fca7f787,de4cb43e,3ea4301d08,37052041.0,66.0136,201.5395208,Industrial Colony,800.0
f2b5170e8a,Unified Outpost 12,14c594f145,2b176def,3b213afd41,25227062.0,66.00319999999999,226.32497279999995,Research Colony,800.0
40eb9a445e,Cygnan Colony,dc652af4e1,f2597e5a,03381bf03f,40242021.0,66.024,326.68675199999996,Research Colony,800.0
cb55a70f2c,Consolidated Outpost 29,3a3695c8e9,e78ba692,d2a9987706,46100626.0,60.65999999999998,283.70681999999994,Research Colony,800.0
0c2d3b9a5f,Elysium-c Prime,2173a01d64,eceb4647,03af03abb8,26602010.0,55.487200000000016,208.02151280000007,Mining Colony,800.0
05b958a51f,Allied Colony,38a2dd884c,22c61624,399539d14c,31496265.0,55.286400000000015,263.4949824000001,Mining Colony,800.0
48a90d939e,HIP 246403-b Prime,094756ff65,06b92a40,cc200fe76a,27651706.0,66.08679999999998,223.30729719999994,Trade Hub,800.0
47c1d2a9f5,Mu Bulge-c Sector,4a7ef72f37,44eed999,94cf82fd39,31414948.0,58.26120000000002,223.66474680000007,Research Colony,800.0
f6a05d65c9,Scientific Outpost 42,187eb0978f,478b3eaf,8800d4c190,25313689.0,66.0772,266.81973360000006,Research Colony,800.0
670c405e38,Scientific Outpost 45,bc259c8444,a7e76322,5d68bdb677,33162342.0,63.237599999999986,148.86131039999998,Research Colony,800.0
8f793fd3f5,Chi Bulge-c Sector,cd3cb2af45,8d177043,492bdf095f,37341315.0,66.0268,232.15022879999995,Research Colony,800.0
2d038a8d5e,Unified Colony,0ad458611c,305333b9,1cc51c4af6,31119047.0,64.7772,247.51368119999998,Research Colony,800.0
4a776dbfc6,Theta Sagittarii-c Prime,7bf42c3a49,44ebb476,9aebadd23a,29108535.0,58.03520000000002,207.06959360000008,Research Colony,800.0
3fbcc30d7c,Theta Bulge-f Science Station,5b3c302325,d7f3d497,8ea676d8e0,25040769.0,66.02600000000001,218.41400800000002,Research Colony,800.0
27f42342e3,HD 173878-c Sector,764f599826,2ee67c76,91ebeb7ce9,31550487.0,66.1872,279.11142240000004,Research Colony,800.0
8c16f6c76b,Unified Outpost 57,176da50470,16ff6919,3e7c26333c,35801672.0,66.1324,242.3091136,Research Colony,800.0
7ef6a6a58d,Kepler-7447c-b Science Station,b619dd5fb5,59307c85,6b10b45b09,23504034.0,57.50375000000001,208.22107875000006,Research Colony,700.0
617a39ca24,Gamma Sagittarii-f Sector,0895acc0af,311927b0,8dd4ff78ca,27454458.0,57.36059999999999,168.69752459999998,Research Colony,700.0
1ae5c455fe,HR 175320-c Prime,adc1c77061,6d95ee33,cdfb73b56c,21757292.0,59.00279999999999,201.43555919999997,Research Colony,700.0
1acb8dc3b0,PSR 133182-c Sector,63803c4eb1,f2adc5f9,13b32218fe,29521577.0,55.146850000000015,214.24551225000005,Research Colony,700.0
65e2c40018,Allied Outpost 53,b323933feb,3e037a1c,982d42fd3d,33036875.0,46.0213,182.244348,Research Colony,700.0
b456453855,Webb-8019-c Sector,11c4291fc3,be9a64f4,1a9e2f55ba,26119842.0,58.73400000000001,216.66972600000005,Research Colony,700.0
21794e3865,Beta Bulge-f Science Station,5a236efd3f,0c60f83d,0e38122d46,33299491.0,59.03185000000001,167.94561325000004,Research Colony,700.0
