star_id,star_name,star_type,star_mass,star_temperature,star_luminosity,x,y,z,region,age_billion_years,metallicity,radiation_level,planet_count,habitable_zone_inner_au,habitable_zone_outer_au
1212d714,HIP 280040,M,0.1279633504703715,2568.519880031035,0.000237864439478,-1605.617884775453,-5347.65006428698,-679.4366757045802,Core,5.4945,-0.7234,3.2475,3,0.0116,0.0273
473dea70,Omicron Cygni,M,0.1627279147067134,2690.6656462668307,0.0004457577135591,-19112.415233822245,18057.137486776755,-565.5131957459715,Cygnus Arm,2.1997,0.1248,5.4806,3,0.0158,0.0374
26815867,Gaia-8662,M,0.1126386622202755,2514.676380773941,0.0001803387759254,-21479.08970571724,-509.64699699352514,397.1323398109136,Orion Arm,11.3941,-1.4543,2.2632,6,0.0101,0.0238
8f82d3b5,Kepler-9979b,M,0.3476612230233916,3340.4313241362406,0.0125927501017983,-8489.88951581475,-9808.713285859018,-405.1262185071905,Sagittarius Arm,1.6769,0.2926,17.3595,4,0.0842,0.1986
f69b317e,HD 131673,K,0.4880172230274281,3862.9309558318346,0.0995725659822478,5540.401296192217,-31227.583714948127,-118.32109276552296,Orion Arm,11.447,-1.482,24.7613,7,0.2367,0.5585
b84e5edc,Gaia-1954,K,0.7156729654413261,4838.598423319969,0.3692486392487224,17282.687111934465,-9864.873231796842,-364.0014706145672,Sagittarius Arm,6.8875,-0.5937,29.7213,3,0.4557,1.0756
b7b3fe33,GDE-7293,G,1.0255411446299685,5951.803815433227,1.4194407578920072,-95.63458065131424,29806.4927461947,-248.74932920257004,Sagittarius Arm,6.1982,-0.7717,34.8635,7,0.8936,2.1088
7845146e,Gaia-5646,M,0.1520845368876478,2653.269994470114,0.0003677806800482,-21853.414254637264,2318.856190422889,-231.58243323573285,Orion Arm,5.3963,-0.5554,4.7969,6,0.0144,0.0339
042ce967,HIP 218139,M,0.2393892000556251,2960.016108303548,0.0017807289233284,-7703.497508306449,-6795.448731315588,1087.7124450794554,Core,2.0873,-0.1228,10.4048,4,0.0316,0.0747
b2056bd6,Xylar,M,0.2247748641385443,2908.6684415678583,0.0013675114420241,14901.314844027913,-42908.979865967296,-641.5887139649041,Cygnus Arm,8.109,-0.8364,9.4661,3,0.0277,0.0655
a20cdf05,PSR 64400,F,1.0661249572634164,6108.853988597568,1.6369530258596012,-4740.588186326817,-2823.5964109316333,6187.574757729435,Core,6.1596,-0.7633,35.4243,4,0.9596,2.2646
59f5e50e,Gliese 247.0,M,0.1065556523847325,2493.303643513925,0.0001615699801861,9454.593908272169,-947.0747265473318,861.5501121970792,Disk Background,12.3866,-1.5951,1.8724,4,0.0095,0.0225
1bf94b9c,Iota Galacticis,M,0.429835522936098,3629.151837343047,0.0555745155715222,28641.167734301,18950.688275982902,-392.9974300915173,Disk Background,7.7595,-1.0132,22.6378,2,0.1768,0.4173
850c3810,Lambda Bulge,K,0.6771520376603641,4673.508732830132,0.2958079498106033,-5359.487086832516,-4597.118108361103,3952.792606823879,Core,9.1581,-1.2662,28.882,9,0.4079,0.9627
79de99a2,Alpha Sagittarii,K,0.4802136241911087,3829.486960819037,0.0951983313356936,14420.3713783788,-12149.248316388584,-811.9786043805207,Sagittarius Arm,9.1494,-1.09,24.5913,5,0.2314,0.5461
1fd4797d,HD 82516,K,0.692352630735464,4738.654131723417,0.3228598084848781,17743.045952460867,21996.98688031885,-497.0353288971976,Disk Background,11.1839,-1.5948,29.2132,6,0.4262,1.0057
683712a6,Helios III,M,0.124051569017337,2554.775783033887,0.0002216342850032,-9008.564831259057,-7065.631792599665,1147.324253457895,Core,3.1868,-0.1799,2.9963,6,0.0112,0.0264
8589d2bc,Webb-6470,M,0.265330984929552,3051.1629200227503,0.0028453910678851,15314.415519148131,5519.678858367554,435.6486487286221,Cygnus Arm,7.5605,-0.7253,12.0711,6,0.04,0.0944
1ffcd021,Omicron Galacticis,M,0.3226531707940208,3252.5651946816947,0.0080149843165008,403.3094425787773,-6932.454505417045,-149.05427701246737,Disk Background,1.3758,0.209,15.7531,2,0.0671,0.1585
2a478f10,Gaia-1477,M,0.2548128959227021,3014.207472160845,0.0023529627288957,261.242058885064,2115.869199245028,-723.7729638556274,Core,11.7379,-1.5772,11.3955,6,0.0364,0.0859
0fe5f7e9,Gliese 622.0,M,0.1297634239124761,2574.8444623951864,0.0002457272028098,804.7498269760857,30448.99376509327,165.99016528450727,Sagittarius Arm,9.7273,-1.2587,3.3631,4,0.0118,0.0277
e8a1b267,HR 220748,K,0.5291250463098209,4039.107341327804,0.1261584814092847,-9537.027751487338,-17727.483437246607,-263.37771632749525,Perseus Arm,3.407,-0.4307,25.657,7,0.2664,0.6287
9429fae3,HR 152312,M,0.1306159155193008,2577.839703175922,0.0002495410782841,-20753.548788788084,-9318.95296694577,-163.96553336904836,Disk Background,5.6641,-0.4732,3.4179,2,0.0118,0.028
d5ba3da8,Kepler-3298,M,0.2535276456175068,3009.691727845294,0.002298956379204,27052.229974272417,-36141.73881090842,-647.9634160656044,Disk Background,12.5831,-2.0,11.313,4,0.036,0.0849
ebd6dd77,Webb-1448,M,0.3126491953341844,3217.416091714702,0.0066897454543882,-2391.878573001643,21325.41120536887,86.03296362297627,Disk Background,7.5124,-0.8961,15.1105,1,0.0613,0.1448
4928468b,PSR 38803,M,0.1074106442547006,2496.307669003002,0.0001640850824659,-24901.86638989076,-26911.22689766642,-493.3194923197832,Cygnus Arm,1.1876,0.2138,1.9273,1,0.0096,0.0227
ee503b26,Zeta Orionis,K,0.7925963083439148,5168.269892902492,0.5749640954358992,-21689.974209961347,-2742.0289858774568,-874.9889371093984,Orion Arm,9.9502,-1.3262,31.3972,5,0.5687,1.3421
a5aa5b1a,Nu Orionis,M,0.1299082671788088,2575.353371168788,0.0002463710671417,-20204.899776095124,-6854.593081767712,226.0166722928844,Orion Arm,10.4821,-1.3826,3.3724,3,0.0118,0.0278
29debf93,Kepler-1900,M,0.1166807295946897,2528.8782391164773,0.0001940009884536,1085.5718725361885,8950.791032951904,-720.5663099283014,Perseus Arm,1.8885,0.0109,2.5228,7,0.0104,0.0247
f8c6eeef,HR 202512,G,0.9003938539735068,5534.64617991169,0.8802633698391316,-11993.81613759153,-24381.7559331891,-146.76942107878338,Orion Arm,8.8003,-1.2387,33.0297,7,0.7037,1.6607
3345c976,HR 213196,M,0.3671909800802272,3409.049389471069,0.017920691062993,-2902.153732828717,3798.1322780946048,-2128.0508638082006,Core,4.9708,-0.4826,18.6139,5,0.1004,0.2369
6c9a2d21,TESS-1874,K,0.5612097454685127,4176.613194865055,0.1517517879356397,-26177.58807903165,-23487.89811304193,-354.1442313008316,Cygnus Arm,9.5665,-1.4013,26.356,8,0.2922,0.6895
786ed7da,TESS-5154,G,0.817007355669993,5256.691185566643,0.6402518823560802,1654.4795718674309,1060.477902593031,230.55564887630464,Core,9.0977,-1.4052,31.8078,9,0.6001,1.4163
bc8b8122,Eta Bulge,M,0.101685843903995,2476.1935056086318,0.0001479623543917,2512.5600433057098,3894.278590352562,166.72667999447978,Core,11.187,-1.6627,1.5596,5,0.0091,0.0215
